#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Mod_Nexus_URL,#Download_File_Name
"0290","+","High Quality Ivy","","https://www.nexusmods.com/skyrimspecialedition/mods/113578","C:/Users/Leandro/Downloads/High Quality Ivy-113578-1-35-1742119283.7z"
"0291","+","High Quality Ivy For Stumps and Logs - HLT","","https://www.nexusmods.com/skyrimspecialedition/mods/116248","C:/Users/Leandro/Downloads/High Quality Ivy For Stumps and Logs - HLT-116248-1-1-1713141066.rar"
"0292","-","COMMUNITY SHADERS_separator","","",""
"0293","+","Community Shader-Jiaye-Exp-26-01-20-RR","","https://www.nexusmods.com/skyrimspecialedition/mods/26","C:/Users/Leandro/Downloads/CS-Jiaye-Exp-26-01-20-RR.7z"
"0294","+","Community Shader Dynamic Cubemap - Addons","","https://www.nexusmods.com/skyrimspecialedition/mods/168378","C:/Users/Leandro/Downloads/Community Shader Dynamic Cubemap - Addons-168378-1-2-1768320336.zip"
"0295","+","Community Shader Dynamic Cubemap Eye and Teeth","","https://www.nexusmods.com/skyrimspecialedition/mods/168378","C:/Users/Leandro/Downloads/Eye and Teeth-168378-1-1-1768643223.zip"
"0296","+","CS Lights","","https://www.nexusmods.com/skyrimspecialedition/mods/138443","C:/Users/Leandro/Downloads/CS Light-138443-1-9-2-1770328070.zip"
"0297","+","CS Presets","","https://www.nexusmods.com/skyrimspecialedition/mods/169651","C:/Users/Leandro/Downloads/BBQPresets-169651-1-0-1-1768348342.rar"
"0298","+","Dirt Cliffs Enhancement - High Quality Ivy","","https://www.nexusmods.com/skyrimspecialedition/mods/149919","C:/Users/Leandro/Downloads/Dirt Cliffs Enhancement - High Quality Ivy-149919-1-2-0-1752768348.7z"
"0299","+","Dynamic Interior Ambient Lighting (DIAL)","","https://www.nexusmods.com/skyrimspecialedition/mods/149920","C:/Users/Leandro/Downloads/Dynamic Interior Ambient Lighting (DIAL)-149920-3-9-1758330287.zip"
"0300","+","Light Placer","","https://www.nexusmods.com/skyrimspecialedition/mods/127557","C:/Users/Leandro/Downloads/Light Placer-127557-4-2-0-1768828852 (1).7z"
"0301","+","NAT.CS III","","https://www.nexusmods.com/skyrimspecialedition/mods/139567","C:/Users/Leandro/Downloads/NAT.CS III-139567-2-0-0-1761688813.zip"
"0302","+","SAM - Light Placer Presets","","https://www.nexusmods.com/skyrimspecialedition/mods/171124","C:/Users/Leandro/Downloads/SAM - Light Placer Presets-171124-0-1-1769720396.rar"
"0303","+","Window Emittance Consistency","","https://www.nexusmods.com/skyrimspecialedition/mods/158918","C:/Users/Leandro/Downloads/Window Emittance Consistency (WEC)-158918-2-0-0-1770622910.7z"
"0304","+","XEMI Utility","","https://www.nexusmods.com/skyrimspecialedition/mods/159084","C:/Users/Leandro/Downloads/XEMI Util-159084-1-3-0-1767492629.7z"
"0305","-","NPCs_separator","","",""
"0306","+","CBPC - Physics with Collisions","","https://www.nexusmods.com/skyrimspecialedition/mods/21224","C:/Users/Leandro/Downloads/CBPC - Fomod installer - MAIN FILE-21224-1-6-4-1708114426.rar"
"0307","+","Faster HDT-SMP","","https://www.nexusmods.com/skyrimspecialedition/mods/57339","C:/Users/Leandro/Downloads/Faster HDT-SMP-57339-2-5-1-1728377043.7z"
"0308","+","SMP-NPC crash fix","","https://www.nexusmods.com/skyrimspecialedition/mods/91616","C:/Users/Leandro/Downloads/SMP-NPC crash fix-91616-1-1684409131.7z"
"0309","+","Argonian Hdt Feathers - wigs and spid","","https://www.nexusmods.com/skyrimspecialedition/mods/168030","C:/Users/Leandro/Downloads/Argonian Hdt Feathers - wigs and spid-168030-4-0-1768623779.zip"
"0310","+","Argonian Hdt Feathers","","https://www.nexusmods.com/skyrimspecialedition/mods/168030","C:/Users/Leandro/Downloads/Argonian Hdt Feathers-168030-4-1-1768780883.zip"
"0311","+","A - IMMORTAN - Complete base game and dlcs - FINAL","","https://www.nexusmods.com/skyrimspecialedition/mods/43293","C:/Users/Leandro/Downloads/A - IMMORTAN - Complete base game and dlcs - FINAL-43293-6-9-1-1767510654.zip"
"0312","+","IMMORTAN - Update 3","","https://www.nexusmods.com/skyrimspecialedition/mods/43293","C:/Users/Leandro/Downloads/IMMORTAN - Update 3-43293-6-9-3-1768042278.zip"
"0313","+","IMMORTAN - Definite Serana","","https://www.nexusmods.com/skyrimspecialedition/mods/43293","C:/Users/Leandro/Downloads/B - IMMORTAN - Definite Serana-43293-6-9-3-1768176043.zip"
"0314","+","IMMORTAN Bodyslide 3BA","","https://www.nexusmods.com/skyrimspecialedition/mods/43293","C:/Users/Leandro/Downloads/IMMORTAN Bodyslide-43293-0-1-1734440436.zip"
"0315","+","IMMORTAN - Beasts - Khajiit Overhaul","","https://www.nexusmods.com/skyrimspecialedition/mods/43293","C:/Users/Leandro/Downloads/B - IMMORTAN - Beasts - Khajiit overhaul-43293-6-9-2-1767516764.zip"
"0316","+","IMMORTAN - Beasts - Next Gen Argonians","","https://www.nexusmods.com/skyrimspecialedition/mods/43293","C:/Users/Leandro/Downloads/B - IMMORTAN - Beasts - Argonian Overhaul-43293-5-9-3-2-1768687433.zip"
"0317","-","CORPOS E TEXTURAS_separator","","",""
"0318","+","High Poly Head SE","","","C:/Users/Leandro/Downloads/High Poly Head v1.4 (SE).zip"
"0319","+","High Poly Head Bone Weight Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/88995","C:/Users/Leandro/Downloads/Main file-88995-1-0-1681203008.zip"
"0320","+","LDD - Better Eye Shape for HPH","","https://www.nexusmods.com/skyrimspecialedition/mods/165624","C:/Users/Leandro/Downloads/LDD - Better Eye Shape for HPH-165624-1-0-0-1764261059.7z"
"0321","+","LDD - Detailed Eyebrows for HPH","","https://www.nexusmods.com/skyrimspecialedition/mods/170221","C:/Users/Leandro/Downloads/LDD - Detailed Eyebrows for HPH-170221-1-0-0-1768851113.7z"
"0322","+","LDD - Morph and Export errors patch for HPH","","https://www.nexusmods.com/skyrimspecialedition/mods/160357","C:/Users/Leandro/Downloads/LDD - Morph and Export errors patch for HPH-160357-1-0-0-1759253921.7z"
"0323","+","Vanilla hair remake SMP","","https://www.nexusmods.com/skyrimspecialedition/mods/63979","C:/Users/Leandro/Downloads/Vanilla hair remake SMP-63979-1-0-3-1718064273.7z"
"0324","+","Modular SMP Hairstyles","","https://www.nexusmods.com/skyrimspecialedition/mods/93608","C:/Users/Leandro/Downloads/Modular SMP Hairstyles-93608-1-031-1712415755.7z"
"0325","+","The New Gentleman","","https://www.nexusmods.com/skyrimspecialedition/mods/104215","C:/Users/Leandro/Downloads/The New Gentleman-104215-4-2-4-1762781098.7z"
"0326","+","SkySight Skins - Ultra HD Male Textures and Real Feet Meshes","","https://www.nexusmods.com/skyrimspecialedition/mods/6580","C:/Users/Leandro/Downloads/01 - Skysight Skins ULTRA - FOMOD Installer-6580-2-0-2-1748249727.rar"
"0327","+","Caliente's Beautiful Bodies Enhancer -CBBE-","","https://www.nexusmods.com/skyrimspecialedition/mods/198","C:/Users/Leandro/Downloads/Caliente's Beautiful Bodies Enhancer CBBE - v2.0.3-198-2-0-3-1712683181.7z"
"0328","+","CBBE 3BA","","https://www.nexusmods.com/skyrimspecialedition/mods/30174","C:/Users/Leandro/Downloads/CBBE 3BA (3BBB)-30174-2-48-1740765899.zip"
"0329","+","Lovergirl CBBE","","https://www.nexusmods.com/skyrimspecialedition/mods/83763","C:/Users/Leandro/Downloads/Lovergirl CBBE-83763-1-1675006751.zip"
"0330","+","Vanilla Warpaints Absolution","","https://www.nexusmods.com/skyrimspecialedition/mods/20751","C:/Users/Leandro/Downloads/Vanilla Warpaints Absolution - FOMOD Installer - All Inclusive-20751-1-4-1540581882.7z"
"0331","+","Obi's Warpaints 2K Main","","https://www.nexusmods.com/skyrimspecialedition/mods/104117","C:/Users/Leandro/Downloads/Obi's Warpaints 2K Main-104117-1-1-1700001120.zip"
"0332","-","ARMAS,ARMADURAS E ROUPAS_separator","","",""
"0333","+","CBBE 3BA Vanilla Outfits Redone","","https://www.nexusmods.com/skyrimspecialedition/mods/109194","C:/Users/Leandro/Downloads/CBBE 3BA Vanilla Outfits Redone-109194-5-1-1-1768472955.7z"
"0334","+","CBBE 3BAXavbio's Fur Shaders Redux (FSXRR) 3BBB Add-on","","https://www.nexusmods.com/skyrimspecialedition/mods/109194","C:/Users/Leandro/Downloads/Fur Shaders Redux (FSXRR) 3BBB Add-on-109194-4-1-8-1745332485 (1).7z"
"0335","+","Improved Closefaced Helmets (Legendary Edition)","","https://www.nexusmods.com/skyrimspecialedition/mods/824","C:/Users/Leandro/Downloads/Improved Closefaced Helmets (Legendary Edition)-824-1-58.zip"
"0336","+","LeanWolf's Better-Shaped Weapons - All in One Installer","","https://www.nexusmods.com/skyrimspecialedition/mods/2017","C:/Users/Leandro/Downloads/LeanWolfs Better-Shaped Weapons Installer v2.1.03 SE-2017-2-1-03-1585765834.7z"
"0337","+","Xavbio's Ancient Nord Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/91136","C:/Users/Leandro/Downloads/Ancient Nord Armors and Weapons Retexture SE-Half-91136-2-0-0-1764771861.7z"
"0338","+","Xavbio's Bonemold Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/94859","C:/Users/Leandro/Downloads/Bonemold Armors and Weapons Retexture SE- Half Res-94859-1-0-1688311624.rar"
"0339","+","Xavbio's Chitin Armors Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/94529","C:/Users/Leandro/Downloads/Chitin Armors Retexture SE - Half Res-94529-1-0-1687960188.rar"
"0340","+","Xavbio's Daedric Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/84151","C:/Users/Leandro/Downloads/Daedric Armors and Weapons Retexture SE - Half Res-84151-2-0-1-1769529500.7z"
"0341","+","Xavbio's Divine Crusader Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/123738","C:/Users/Leandro/Downloads/Divine Crusader Retexture SE - Half Res-123738-1-0-1720446401.7z"
"0342","+","Xavbio's Dragon Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/83222","C:/Users/Leandro/Downloads/Dragon Armors and Weapons Retexture SE-Half Res-83222-2-2-1741530865.7z"
"0343","+","Xavbio's Dragon Priest Hood Variants","","https://www.nexusmods.com/skyrimspecialedition/mods/123043","C:/Users/Leandro/Downloads/Dragon Priest Hood Variants - Half Res-123043-1-0-1-1719846846.7z"
"0344","+","Xavbio's Dragon Priest Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/101101","C:/Users/Leandro/Downloads/Dragon Priests Retexture SE - Half Res-101101-1-1-1717159764.7z"
"0345","+","Xavbio's Dwemer Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/93088","C:/Users/Leandro/Downloads/Dwemer Armors and Weapons Retexture SE - Half Res-93088-1-0-1686248797.rar"
"0346","+","Xavbio's Ebony Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/83654","C:/Users/Leandro/Downloads/Ebony Armors and Weapons Retexture SE - Half Res-83654-2-0-2-1735051273.7z"
"0347","+","Xavbio's Elven Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/87283","C:/Users/Leandro/Downloads/Elven Armors and Weapons Retexture SE - Half Res-87283-2-0-0-1757337677.7z"
"0348","+","Xavbio's Faction Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/169281","C:/Users/Leandro/Downloads/Faction Armors and Weapons Retexture SE - Half Res-169281-1-1-0-1768597753.7z"
"0349","+","Xavbio's Falmer Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/90711","C:/Users/Leandro/Downloads/Falmer Armors and Weapons Retexture SE - Half Res-90711-1-0-1683300113.rar"
"0350","+","Xavbio's Ghosts of the Tribunal Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/119758","C:/Users/Leandro/Downloads/Ghosts of the Tribunal Retexture SE - Half Res-119758-1-0-1716066460.7z"
"0351","+","Xavbio's Glass Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/87580","C:/Users/Leandro/Downloads/Glass Armors and Weapons Retexture SE - Half res-87580-2-2-0-1741381157.7z"
"0352","+","Xavbio's Guards and Stormcloaks Armors Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/98115","C:/Users/Leandro/Downloads/Guards and Stormcloaks Armors Retexture SE-HalfRes-98115-1-1-1741642667.7z"
"0353","+","Xavbio's HDT-SMP Fur Shaders Xavbio Sleeves and Pants Addon","","https://www.nexusmods.com/skyrimspecialedition/mods/167250","C:/Users/Leandro/Downloads/HDT-SMP Fur Shaders Xavbio Sleeves and Pants Addon-167250-1-1-1765989117.zip"
"0354","+","Xavbio's Imperial Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/86097","C:/Users/Leandro/Downloads/Imperial Armors and Weapons Retexture SE - HalfRes-86097-2-0-2-1754744934.7z"
"0355","+","Xavbio's Iron Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/84978","C:/Users/Leandro/Downloads/Iron Armors and Weapons Retexture SE - Half res-84978-2-1-0-1741477231.7z"
"0356","+","Xavbio's Leather Armors Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/90153","C:/Users/Leandro/Downloads/Leather Armors Retexture SE - Half Res-90153-2-0-0-1750949062.7z"
"0357","+","Xavbio's Leather Male Fix Fur Shader","","https://www.nexusmods.com/skyrimspecialedition/mods/167250","C:/Users/Leandro/Downloads/Leather Male Fix-167250-1-1767247408.zip"
"0358","+","Xavbio's Orcish Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/84607","C:/Users/Leandro/Downloads/Orcish Armors and Weapons Retexture SE - Half Res-84607-2-0-2-1769531340.7z"
"0359","+","Xavbio's Retextures Redux Full Fur Shader Textures Full Resolution","","https://www.nexusmods.com/skyrimspecialedition/mods/145403","C:/Users/Leandro/Downloads/Fur Shaders for Xavbio Retextures Redux Half Res-145403-1-1-1744512592.zip"
"0360","+","Xavbio's Retextures Redux Fur Shaders for 3BA","","https://www.nexusmods.com/skyrimspecialedition/mods/145403","C:/Users/Leandro/Downloads/Fur Shaders for Xavbio Retextures Redux 3BA-145403-1-12-1745328608.zip"
"0361","+","Xavbio's Retextures Redux Meshes Fur Shaders Meshes","","https://www.nexusmods.com/skyrimspecialedition/mods/145403","C:/Users/Leandro/Downloads/Fur Shaders for Xavbio Retextures Redux Meshes-145403-1-11-1744883297.zip"
"0362","+","Xavbio's Robes Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/110655","C:/Users/Leandro/Downloads/Robes Retexture SE - Half Res-110655-1-0-1706836428.rar"
"0363","+","Xavbio's Saints and Seducers Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/151116","C:/Users/Leandro/Downloads/Saints and Seducers Retexture SE - Half res-151116-1-1-0-1764076057.7z"
"0364","+","Xavbio's Silver Armor and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/89109","C:/Users/Leandro/Downloads/Silver Armor and Weapons Retexture SE - Half Res-89109-2-0-1-1717271858.7z"
"0365","+","Xavbio's Spell Knight Armors Retexture SE - Half Res","","https://www.nexusmods.com/skyrimspecialedition/mods/111518","C:/Users/Leandro/Downloads/Spell Knight Armors Retexture SE - Half Res-111518-1-2-0-1758821314.7z"
"0366","+","Xavbio's Stalhrim Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/96204","C:/Users/Leandro/Downloads/Stalhrim Armors and Weapons Retexture SE - HalfRes-96204-1-1-1689866329.rar"
"0367","+","Xavbio's Steel Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/85445","C:/Users/Leandro/Downloads/Steel Armors and Weapons Retexture SE Half Res-85445-2-1-1-1759165479.7z"
"0368","+","Xavbio's Unique Armors and Weapons Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/105771","C:/Users/Leandro/Downloads/Unique Armors and Weapons Retexture SE - Half Res-105771-1-4-0-1767737147.7z"
"0369","+","Xavbio's Vigil Enforcer Retexture SE - Half Res","","https://www.nexusmods.com/skyrimspecialedition/mods/120097","C:/Users/Leandro/Downloads/Vigil Enforcer Retexture SE - Half Res-120097-1-0-1716468645.7z"
"0370","+","Common Clothing - Farm Clothes Replacer Skypatch","","https://www.nexusmods.com/skyrimspecialedition/mods/134143","C:/Users/Leandro/Downloads/Common Clothing - Farm Clothes Replacer Skypatch-134143-1-0-1731815897 (1).zip"
"0371","+","Common Clothing Expansion","","https://www.nexusmods.com/skyrimspecialedition/mods/134088","C:/Users/Leandro/Downloads/Common Clothing Expansion-134088-1-7-1734795059.zip"
"0372","+","Common Clothing Expansion CBBE 3BA","","https://www.nexusmods.com/skyrimspecialedition/mods/134131","C:/Users/Leandro/Downloads/Common Clothing Expansion CBBE 3BA-134131-1-1-1733695984.7z"
"0373","+","Common Clothing Expansion SPID distribution","","https://www.nexusmods.com/skyrimspecialedition/mods/134088","C:/Users/Leandro/Downloads/Common Clothing Expansion SPID distribution-134088-1-1-1732474758.zip"
"0374","+","Common Clothing Retexture SE","","https://www.nexusmods.com/skyrimspecialedition/mods/142188","C:/Users/Leandro/Downloads/Common Clothing Retexture SE-142188-1-0-1739910119.7z"
"0375","+","NPC Underwear Distribution Engine (NUDE)","","https://www.nexusmods.com/skyrimspecialedition/mods/94018","C:/Users/Leandro/Downloads/Option A-NPC Underwear Distribution Engine (NUDE)-94018-2-0-2-1697391971.7z"
"0376","+","N.U.D.E. - HIMBO underwear","","https://www.nexusmods.com/skyrimspecialedition/mods/126574","C:/Users/Leandro/Downloads/N.U.D.E. - HIMBO V5-126574-2-0-1745555111.7z"
"0377","-","OSTIM_separator","","",""
"0378","+","OStim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/98163","C:/Users/Leandro/Downloads/OStim Standalone-98163-7-3-5d-1762425075.zip"
"0379","+","OStim - Ahegao Expressions","","https://www.nexusmods.com/skyrimspecialedition/mods/142330","C:/Users/Leandro/Downloads/Ahegao Expressions-142330-1-3-0-1762592066.7z"
"0380","+","OStim - Amorous Adventures for OStim","","https://www.nexusmods.com/skyrimspecialedition/mods/48912","C:/Users/Leandro/Downloads/Amorous Adventures for OStim-48912-3-4-0-3Beta-1654423249.zip"
"0381","+","OStim - Amorous Adventures for Ostim - Script Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/90570","C:/Users/Leandro/Downloads/Amorous Adventures for Ostim - Script Fix-90570-1-1-1704208694.zip"
"0382","+","OStim - Amorous Adventures for OStim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/69248","C:/Users/Leandro/Downloads/Amorous Adventures for OStim Standalone-69248-3-0-0-1702152542.zip"
"0383","+","OStim - BallroomDancing","","https://www.nexusmods.com/skyrimspecialedition/mods/107722","C:/Users/Leandro/Downloads/BallroomDancing-107722-2-1711310931.rar"
"0384","+","OStim - Devour","","https://www.nexusmods.com/skyrimspecialedition/mods/72917","C:/Users/Leandro/Downloads/Devour-72917-2-0-1681721322.7z"
"0385","+","OStim - Dogma Animations for Ostim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/106778","C:/Users/Leandro/Downloads/Dogma Animations for Ostim Standalone-106778-1-1702361765.zip"
"0386","+","OStim - Gunslicer Dance Pack for OStim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/142171","C:/Users/Leandro/Downloads/Gunslicer Dance Pack for OStim Standalone-142171-1-0-1739873495.zip"
"0387","+","OStim - Just Shake It for OStim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/122628","C:/Users/Leandro/Downloads/Just Shake It for OStim Standalone-122628-1-0-1719284327.zip"
"0388","+","OStim - Milky's Animations for Ostim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/106875","C:/Users/Leandro/Downloads/Milky's Animations for Ostim Standalone-106875-1-1702468653.zip"
"0389","+","OStim - Moon Lovemaking Compendium for OStim NG","","https://www.nexusmods.com/skyrimspecialedition/mods/82540","C:/Users/Leandro/Downloads/Moon Lovemaking Compendium for OStim NG-82540-1-5-1689462012.zip"
"0390","+","OStim - NCK30's Animations for Ostim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/104005","C:/Users/Leandro/Downloads/NCK30's Animations for Ostim Standalone-104005-1-31-1767648670.zip"
"0391","+","OStim - Nibbles' animations for Ostim Standalone","","https://www.nexusmods.com/skyrimspecialedition/mods/102528","C:/Users/Leandro/Downloads/Nibbles' animations for Ostim Standalone-102528-2-3-2-1761436447.zip"
"0392","+","OStim - Open Animations Romance and Erotica","","https://www.nexusmods.com/skyrimspecialedition/mods/98732","C:/Users/Leandro/Downloads/Open Animations RE for OStim Standalone-98732-1-52-1-1743384014.7z"
"0393","+","OStim - OStim OCum Ascended","","https://www.nexusmods.com/skyrimspecialedition/mods/77506","C:/Users/Leandro/Downloads/OCum Ascended-77506-4-1-1-1760829657.zip"
"0394","+","OStim - OStim Romance","","https://www.nexusmods.com/skyrimspecialedition/mods/107671","C:/Users/Leandro/Downloads/OStim Romance-107671-1-4-1-1734888718.7z"
"0395","+","OStim - Ostim SA - Female Moan Voicesets","","https://www.nexusmods.com/skyrimspecialedition/mods/121383","C:/Users/Leandro/Downloads/Ostim SA - Female Moan Voicesets-121383-1-4-2-1766994300.7z"
"0396","+","OStim - Vampire Feed Proxy","","https://www.nexusmods.com/skyrimspecialedition/mods/72911","C:/Users/Leandro/Downloads/Vampire Feed Proxy-72911-1-2-1-1740486136.zip"
"0397","+","OStim Community Resource","","https://www.nexusmods.com/skyrimspecialedition/mods/106519","C:/Users/Leandro/Downloads/OStim Community Resource-106519-1-17-6-1725676642.7z"
"0398","+","OStim Halos HDT Tongues for OStim NG","","https://www.nexusmods.com/skyrimspecialedition/mods/87364","C:/Users/Leandro/Downloads/Halos HDT Tongues for OStim NG-87364-1-0-1679241136.7z"
"0399","+","OStim Lovense Add-On","","https://www.nexusmods.com/skyrimspecialedition/mods/98163","C:/Users/Leandro/Downloads/OStim Lovense Add-On-98163-1-2-1742670322.zip"
"0400","+","XP32 Maximum Skeleton Special Extended","","https://www.nexusmods.com/skyrimspecialedition/mods/1988","C:/Users/Leandro/Downloads/XP32 Maximum Skeleton Special Extended-1988-5-06-1707663131.7z"
"0401","+","XP32 Creation Collision Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/68402","C:/Users/Leandro/Downloads/Creation Collision Fix-68402-1-0-3-1672826382.7z"
"0402","+","XP32 Extra Skeleton Nodes","","https://www.nexusmods.com/skyrimspecialedition/mods/92244","C:/Users/Leandro/Downloads/Extra Skeleton Nodes-92244-1-5-1721618114.zip"
"0403","+","XP32 Fixed Female Hand Size - XPMSSE","","https://www.nexusmods.com/skyrimspecialedition/mods/162507","C:/Users/Leandro/Downloads/Fixed Female Hand Size - XPMSSE-162507-1-0-1761237049.zip"
"0404","+","Penetration Physics","","https://www.nexusmods.com/skyrimspecialedition/mods/172002","C:/Users/Leandro/Downloads/PPA - Penetration Physics v0.0.28 (BETA)-172002-v0-0-28-1770806153.zip"
"0405","-","COMBATE_separator","","",""
"0406","+","Combate - Precision","","https://www.nexusmods.com/skyrimspecialedition/mods/72347","C:/Users/Leandro/Downloads/Precision-72347-2-0-4-1674360214.7z"
"0407","+","Combate - Precision - NPC Combat Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/169711","C:/Users/Leandro/Downloads/Precision - NPC Combat Fix-169711-1-0-8-1769332280.zip"
"0408","+","Combate - Arctic - Frost Effects Redux","","https://www.nexusmods.com/skyrimspecialedition/mods/29817","C:/Users/Leandro/Downloads/Arctic - Frost Effects Redux-29817-3-1-1663347430.7z"
"0409","+","Combate - Bloodskal Weapon Art - BFCO","","https://www.nexusmods.com/skyrimspecialedition/mods/167246","C:/Users/Leandro/Downloads/Bloodskal Weapon Art - BFCO-167246-1-1765903892.zip"
"0410","+","Combate - Bow Charge Plus","","https://www.nexusmods.com/skyrimspecialedition/mods/59124","C:/Users/Leandro/Downloads/Bow Charge Plus-59124-0-9-1642820165.zip"
"0411","+","Combate - Bow Rapid Combo V3","","https://www.nexusmods.com/skyrimspecialedition/mods/89308","C:/Users/Leandro/Downloads/Bow Rapid Combo v3-89308-1-9-6-1710583778.zip"
"0412","+","Combate - Bow Rapid Combo V3 - Micro Script Optimization","","https://www.nexusmods.com/skyrimspecialedition/mods/155002","C:/Users/Leandro/Downloads/Bow Rapid Combo V3 - Micro Script Optimization-155002-1-0-1752697269.rar"
"0413","+","Combate - Bow Rapid Combo V3 - Settings Loader","","https://www.nexusmods.com/skyrimspecialedition/mods/92696","C:/Users/Leandro/Downloads/Bow Rapid Combo V3 - Settings Loader-92696-1-0-1-1685888779.zip"
"0414","+","Combate - Bow Rapid Combo v3 - timing shot fix","","https://www.nexusmods.com/skyrimspecialedition/mods/149773","C:/Users/Leandro/Downloads/Bow Rapid Combo v3 - timing shot fix-149773-1-9-6-1746978492.zip"
"0415","+","Combate - BFCO - Attack Behavior Framework 3.3.13","","https://www.nexusmods.com/skyrimspecialedition/mods/117052","C:/Users/Leandro/Downloads/BFCO - Attack Behavior Framework-117052-3-3-13-1743913157.zip"
"0416","+","Combate - BFCO NG","","https://www.nexusmods.com/skyrimspecialedition/mods/160505","C:/Users/Leandro/Downloads/BFCO NG-160505-1-6-1e-1769190989.zip"
"0417","+","Combate - BFCO Bow Rapid Combo fix","","https://www.nexusmods.com/skyrimspecialedition/mods/145221","C:/Users/Leandro/Downloads/Bow Rapid Combo fix for BFCO-145221-1-0-1742434424.7z"
"0418","+","Combate - Combat Pathing Revolution","","https://www.nexusmods.com/skyrimspecialedition/mods/86950","C:/Users/Leandro/Downloads/Combat Pathing Revolution-86950-v0-30-1678975298.7z"
"0419","+","Combate - Core Impact Framework - Latest Version","","https://www.nexusmods.com/skyrimspecialedition/mods/146873","C:/Users/Leandro/Downloads/Core Impact Framework - Latest Version-146873-1-2-5-1758720471.zip"
"0420","+","Combate - Deadly Spell Impacts","","https://www.nexusmods.com/skyrimspecialedition/mods/12939","C:/Users/Leandro/Downloads/Deadly Spell Impacts v1.9-12939-1-9-0-1724962001.7z"
"0421","+","Combate - Death Drop Overhaul - Latest Version","","https://www.nexusmods.com/skyrimspecialedition/mods/151590","C:/Users/Leandro/Downloads/Death Drop Overhaul - Latest Version-151590-1-2-4-1769176647.zip"
"0422","+","Combate - Dismember Official Creature Asset Pack - 3BA- Latest Version","","https://www.nexusmods.com/skyrimspecialedition/mods/126328","C:/Users/Leandro/Downloads/Official Creature Asset Pack - Latest Version-126328-1-0-2-1730217026.zip"
"0423","+","Combate - Dismembering - Creatures by Xtudo AiO","","",""
"0424","+","Combate - Dismembering Framework - Latest Version","","https://www.nexusmods.com/skyrimspecialedition/mods/126203","C:/Users/Leandro/Downloads/Dismembering Framework - Latest Version-126203-1-2-2-1756603963.zip"
"0425","+","Combate - Dismembering Framework-Fluffworks - Patch","","https://www.nexusmods.com/skyrimspecialedition/mods/146339","C:/Users/Leandro/Downloads/Fluffworks - Dismembering Framework Patch-146339-1-0-1743372833.7z"
"0426","+","Combate - Dismembering Official Humanoid Asset Pack - Latest Veersion","","https://www.nexusmods.com/skyrimspecialedition/mods/126327","C:/Users/Leandro/Downloads/Official Humanoid Asset Pack - Latest Veersion-126327-1-0-1-1733258987.zip"
"0427","+","Combate - dTry's Key Utils AE-NG-2024","","","C:/Users/Leandro/Downloads/dTry's Key Utils AE-NG-2024.zip"
