#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Mod_Nexus_URL,#Download_File_Name
"0051","+","imGui Icons","","https://www.nexusmods.com/skyrimspecialedition/mods/114790","C:/Users/Leandro/Downloads/imGui Icons-114790-1-2-0-1763843695.7z"
"0052","+","ImprovedCameraSE","","","C:/Users/Leandro/Downloads/ImprovedCameraSE-NG-v2.0.0.1215.7z"
"0053","+","JContainers SE","","https://www.nexusmods.com/skyrimspecialedition/mods/16495","C:/Users/Leandro/Downloads/JContainers SE-16495-4-2-9-1705929247.7z"
"0054","+","Keyword Item Distributor","","https://www.nexusmods.com/skyrimspecialedition/mods/55728","C:/Users/Leandro/Downloads/Keyword Item Distributor-55728-3-4-0-1710234193.7z"
"0055","+","Killmove Fixes","","https://www.nexusmods.com/skyrimspecialedition/mods/140398","C:/Users/Leandro/Downloads/1170/Killmove Fixes-140398-1-0-1738208773.rar"
"0056","+","Leveled List Crash Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/129136","C:/Users/Leandro/Downloads/Leveled List Crash Fix-129136-1-1-1-1729025987.7z"
"0057","+","Loki_WadeInWater","","https://www.nexusmods.com/skyrimspecialedition/mods/42854","C:/Users/Leandro/Downloads/Loki_WadeInWater-42854-v1-1606602483.rar"
"0058","+","MCM Helper","","https://www.nexusmods.com/skyrimspecialedition/mods/53000","C:/Users/Leandro/Downloads/MCM Helper-53000-1-5-0-1702843613.7z"
"0059","+","MergeMapper","","https://www.nexusmods.com/skyrimspecialedition/mods/74689","C:/Users/Leandro/Downloads/MergeMapper-74689-1-5-0-1683883576.7z"
"0060","+","Modern Wait Menu","","https://www.nexusmods.com/skyrimspecialedition/mods/117661","C:/Users/Leandro/Downloads/Modern Wait Menu-117661-1-00-1715104007.zip"
"0061","+","More Informative Console 1.2.2","","https://www.nexusmods.com/skyrimspecialedition/mods/19250","C:/Users/Leandro/Downloads/More Informative Console 1.2.2-19250-1-2-2-1726885673.zip"
"0062","+","More Perk Points Per Level","","https://www.nexusmods.com/skyrimspecialedition/mods/7018","C:/Users/Leandro/Downloads/More Perk Points Per Level-7018-1-03.7z"
"0063","+","More Vanilla Bandits Special Editoin","","https://www.nexusmods.com/skyrimspecialedition/mods/28205","C:/Users/Leandro/Downloads/MVB Special Editoin-28205-1-2-1565652222.zip"
"0064","+","Myrwatch CC - House Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/64108","C:/Users/Leandro/Downloads/Myrwatch - House Fix-64108-1-1-1-1658728465.7z"
"0065","+","Nether's Follower Framework","","https://www.nexusmods.com/skyrimspecialedition/mods/55653","C:/Users/Leandro/Downloads/Nether's Follower Framework - Universal Installer-55653-2-8-6b-1712793520.zip"
"0066","+","NK_WalkSpeed","","https://www.nexusmods.com/skyrimspecialedition/mods/46688","C:/Users/Leandro/Downloads/NK_WalkSpeed-46688-1-1-1615213476.7z"
"0067","+","NoCamColl_2_SE","","https://www.nexusmods.com/skyrimspecialedition/mods/19310","C:/Users/Leandro/Downloads/NoCamColl_2_SE-19310-2.zip"
"0068","+","NPC Stuck in Bleedout fix","","https://www.nexusmods.com/skyrimspecialedition/mods/95489","C:/Users/Leandro/Downloads/NPC Stuck in Bleedout fix-95489-0-1-3-1692533474.7z"
"0069","+","NPCs Reset Random Scenes","","https://www.nexusmods.com/skyrimspecialedition/mods/34961","C:/Users/Leandro/Downloads/Reset Random Scenes-34961-1-1-0-1742830811.7z"
"0070","+","Object Impact Framework - OIF","","https://www.nexusmods.com/skyrimspecialedition/mods/149484","C:/Users/Leandro/Downloads/Object Impact Framework - OIF-149484-1-6-8-1756392215.zip"
"0071","+","PAPER","","https://www.nexusmods.com/skyrimspecialedition/mods/73849","C:/Users/Leandro/Downloads/PAPER-73849-2-2-4-1689759531.zip"
"0072","+","Papyrus Tweaks 4.1.1","","https://www.nexusmods.com/skyrimspecialedition/mods/77779","C:/Users/Leandro/Downloads/Papyrus Tweaks 4.1.1-77779-4-1-1-1761101872.rar"
"0073","+","PapyrusUtil AE SE - Scripting Utility Functions","","https://www.nexusmods.com/skyrimspecialedition/mods/13048","C:/Users/Leandro/Downloads/PapyrusUtil AE SE - Scripting Utility Functions-13048-4-6-1705639805.zip"
"0074","+","PhotoMode","","https://www.nexusmods.com/skyrimspecialedition/mods/91701","C:/Users/Leandro/Downloads/Photo Mode-91701-2-0-2-1758246081.7z"
"0075","+","Populated Dungeons Caves Ruins Legendary","","https://www.nexusmods.com/skyrimspecialedition/mods/2820","C:/Users/Leandro/Downloads/Populated Dungeons Caves Ruins Legendary-2820-1-1-1706151163.zip"
"0076","+","powerofthree's Papyrus Extender","","https://www.nexusmods.com/skyrimspecialedition/mods/22854","C:/Users/Leandro/Downloads/Papyrus Extender-22854-6-3-0-1766509921.7z"
"0077","+","powerofthree's Tweaks","","https://www.nexusmods.com/skyrimspecialedition/mods/51073","C:/Users/Leandro/Downloads/powerofthree's Tweaks-51073-1-1-5-1-1756670335.7z"
"0078","+","Phenderix Weather Changer - 1.0.0","","https://www.nexusmods.com/skyrimspecialedition/mods/64920","C:/Users/Leandro/Downloads/Phenderix Weather Changer - 1.0.0-64920-1-0-0-1647182254.7z"
